review,rating,source,date,bank
great,5,Google Play,2025-09-13 00:00:00,CBE
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,Google Play,2025-09-13 00:00:00,CBE
it is best to me,1,Google Play,2025-09-13 00:00:00,CBE
hayizgi mebrahtom feshay,5,Google Play,2025-09-13 00:00:00,CBE
best,5,Google Play,2025-09-13 00:00:00,CBE
good,5,Google Play,2025-09-12 00:00:00,CBE
great,5,Google Play,2025-09-12 00:00:00,CBE
Excellent app,5,Google Play,2025-09-12 00:00:00,CBE
good,5,Google Play,2025-09-12 00:00:00,CBE
after apdate the app doesn't work any thing else it said enable to connects,1,Google Play,2025-09-12 00:00:00,CBE
love,5,Google Play,2025-09-12 00:00:00,CBE
good,3,Google Play,2025-09-11 00:00:00,CBE
Hasasa bank,1,Google Play,2025-09-11 00:00:00,CBE
All ways Trusted.,5,Google Play,2025-09-11 00:00:00,CBE
best MB application in Ethiopia financial sector.,5,Google Play,2025-09-11 00:00:00,CBE
I like this app,5,Google Play,2025-09-11 00:00:00,CBE
am tired why I have to update every 5 day,1,Google Play,2025-09-11 00:00:00,CBE
excellent,5,Google Play,2025-09-10 00:00:00,CBE
best,5,Google Play,2025-09-10 00:00:00,CBE
usb debugig mode bicha off endidereg axrigu like awash bank,1,Google Play,2025-09-10 00:00:00,CBE
good morning 🙏,5,Google Play,2025-09-10 00:00:00,CBE
nice,5,Google Play,2025-09-09 00:00:00,CBE
am happy 😃,5,Google Play,2025-09-09 00:00:00,CBE
good,5,Google Play,2025-09-09 00:00:00,CBE
wowww,5,Google Play,2025-09-08 00:00:00,CBE
KEHRU nasir AbFIXA,5,Google Play,2025-09-08 00:00:00,CBE
It is well organized.,5,Google Play,2025-09-08 00:00:00,CBE
Can't see the nearest Branch or ATM available,2,Google Play,2025-09-08 00:00:00,CBE
excellent,5,Google Play,2025-09-08 00:00:00,CBE
very good,5,Google Play,2025-09-07 00:00:00,CBE
the app does not open,1,Google Play,2025-09-07 00:00:00,CBE
from Monk,3,Google Play,2025-09-06 00:00:00,CBE
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,Google Play,2025-09-06 00:00:00,CBE
incredible,5,Google Play,2025-09-06 00:00:00,CBE
good,5,Google Play,2025-09-06 00:00:00,CBE
