review,rating,source,date,bank
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,Google Play,2025-03-12 00:00:00,BoA
Improved to be the best,5,Google Play,2025-03-11 00:00:00,BoA
BoA,5,Google Play,2025-03-11 00:00:00,BoA
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,Google Play,2025-03-11 00:00:00,BoA
BoA Greqt Ethiopian bank.,5,Google Play,2025-03-11 00:00:00,BoA
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,Google Play,2025-03-10 00:00:00,BoA
Almost better compared to cbe where it is not qualified for,4,Google Play,2025-03-09 00:00:00,BoA
what awesome apps. it is very simple to use and more much important apps.,5,Google Play,2025-03-09 00:00:00,BoA
Wonderfull app,5,Google Play,2025-03-08 00:00:00,BoA
i can't use this app why?,5,Google Play,2025-03-07 00:00:00,BoA
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,Google Play,2025-03-06 00:00:00,BoA
Wow,4,Google Play,2025-03-05 00:00:00,BoA
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,Google Play,2025-03-05 00:00:00,BoA
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,Google Play,2025-03-04 00:00:00,BoA
Good app,5,Google Play,2025-03-03 00:00:00,BoA
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,Google Play,2025-03-03 00:00:00,BoA
It has good features but sometimes it doesn't work...0,1,Google Play,2025-03-02 00:00:00,BoA
Very poor proformance,1,Google Play,2025-03-01 00:00:00,BoA
It's not opening. Really frustrating,1,Google Play,2025-03-01 00:00:00,BoA
Verry Amazing App from all IB,5,Google Play,2025-03-01 00:00:00,BoA
Not working on this days,1,Google Play,2025-02-26 00:00:00,BoA
Thank you BoA,5,Google Play,2025-02-23 00:00:00,BoA
best banking app in the wworld,5,Google Play,2025-02-22 00:00:00,BoA
Nice app and it's easy to use,5,Google Play,2025-02-21 00:00:00,BoA
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,Google Play,2025-02-15 00:00:00,BoA
This is help full i like ittttt,5,Google Play,2025-02-14 00:00:00,BoA
The is not functional at all?,2,Google Play,2025-02-12 00:00:00,BoA
Best bank,5,Google Play,2025-02-08 00:00:00,BoA
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,Google Play,2025-02-07 00:00:00,BoA
good,5,Google Play,2025-02-05 00:00:00,BoA
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,Google Play,2025-02-04 00:00:00,BoA
I have been using this app for two years.It is amazing.,5,Google Play,2025-02-01 00:00:00,BoA
Good 👍,5,Google Play,2025-01-31 00:00:00,BoA
Sad experience,1,Google Play,2025-01-30 00:00:00,BoA
Always do update and that is annoying,3,Google Play,2025-01-27 00:00:00,BoA
"Best app, somehow waiting a few minutes",5,Google Play,2025-01-23 00:00:00,BoA
I can't dijitalize my atm in the apollo app on my phone,1,Google Play,2025-01-22 00:00:00,BoA
Whenever I try to sign in app close please fixed it out,2,Google Play,2025-01-21 00:00:00,BoA
Beter,5,Google Play,2025-01-21 00:00:00,BoA
Boa,4,Google Play,2025-01-18 00:00:00,BoA
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,Google Play,2025-01-18 00:00:00,BoA
Aadan Axmed Barkhadle,5,Google Play,2025-01-17 00:00:00,BoA
😡😡😡🤬🤬🤬,1,Google Play,2025-01-16 00:00:00,BoA
